Age,Games Played,Games Started,3-Point Field Goals Per Game,Free Throws Per Game,Offensive Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game
20,60,17,1.5,0.7,0.5,1.1,0.6,0.0
25,76,43,1.7,1.4,1.1,2.3,0.6,0.5
28,75,74,2.7,1.7,0.6,3.0,0.9,0.6
22,6,0,0.2,0.7,0.5,0.7,0.0,0.7
21,23,0,0.4,0.7,0.7,0.6,0.2,0.1
31,82,82,1.8,1.9,0.8,1.2,0.7,0.1
25,23,0,0.1,0.3,0.5,0.3,0.1,0.1
27,66,26,1.2,0.3,1.0,1.1,0.8,0.5
23,4,0,0.5,0.3,0.3,1.0,0.5,0.3
25,76,76,1.5,1.8,1.0,2.6,1.4,0.8
24,68,38,2.5,3.1,0.3,4.9,0.7,0.1
23,69,42,1.2,1.3,1.0,1.9,0.8,0.5
25,75,49,0.0,1.5,3.3,2.5,1.2,1.1
22,59,3,0.0,1.2,1.6,0.8,0.6,1.0
24,78,1,1.9,0.6,0.4,1.3,0.6,0.3
25,23,6,1.0,0.5,0.7,1.1,0.6,0.2
24,10,0,0.3,0.0,0.3,0.6,0.2,0.0
22,46,45,1.5,1.4,1.6,1.6,0.4,0.8
35,43,5,0.1,0.1,0.3,3.4,0.4,0.1
29,11,0,0.6,0.2,0.3,0.1,0.4,0.1
21,8,0,0.4,0.4,0.3,1.3,0.1,0.1
21,63,3,0.4,0.2,0.7,0.5,0.2,0.4
24,9,9,1.6,5.8,0.7,8.1,0.8,0.6
36,46,0,0.0,0.6,0.9,0.4,0.3,0.4
20,76,76,1.8,2.0,1.8,1.6,0.7,0.8
21,72,23,0.6,1.8,2.1,1.0,0.6,0.3
25,41,14,1.2,0.0,0.2,3.3,0.8,0.1
23,9,0,0.1,0.2,0.3,0.3,0.0,0.1
21,73,7,1.1,0.8,0.3,1.5,0.3,0.1
21,77,61,1.6,2.9,1.1,3.8,0.7,0.5
23,72,71,1.2,0.8,0.8,1.4,0.9,0.6
21,49,2,0.2,0.7,0.7,0.9,0.7,0.3
33,50,25,1.2,0.5,0.6,1.3,0.8,0.2
28,65,9,0.4,0.4,0.9,1.0,0.6,0.2
22,7,1,0.9,0.7,0.6,1.1,1.0,0.0
22,75,20,0.9,1.9,1.1,2.6,1.0,0.3
22,35,6,1.5,2.6,1.5,1.7,0.8,0.3
27,77,77,2.7,5.5,0.6,6.7,0.9,0.2
20,61,60,0.0,2.3,3.1,2.4,0.5,0.8
21,82,82,2.5,3.5,0.5,3.5,0.8,0.3
20,21,0,0.1,0.6,0.1,0.4,0.1,0.1
22,56,52,1.3,1.9,1.3,3.6,1.2,0.8
26,50,1,0.2,0.5,0.4,0.7,0.4,0.1
24,27,0,0.3,0.1,0.0,0.8,0.1,0.0
23,61,14,1.0,1.2,1.8,1.0,0.3,0.6
22,75,75,2.0,1.6,0.6,2.7,1.4,0.6
